auc,train_balance,test_balance,n_test,model,fold,seed,shift
0.6114285714285714,0.4197674418604651,0.4166666666666667,60,baseline_xgb,6,9,-0.003100775193798422
0.18500000000000003,0.39891304347826084,0.4,30,transformer_finbert,7,0,0.0010869565217391797
0.4560185185185185,0.39891304347826084,0.4,60,baseline_xgb,7,0,0.0010869565217391797
0.19500000000000003,0.39891304347826084,0.4,30,transformer_finbert,7,1,0.0010869565217391797
0.4386574074074074,0.39891304347826084,0.4,60,baseline_xgb,7,1,0.0010869565217391797
0.24500000000000002,0.39891304347826084,0.4,30,transformer_finbert,7,2,0.0010869565217391797
0.45138888888888884,0.39891304347826084,0.4,60,baseline_xgb,7,2,0.0010869565217391797
0.775,0.39891304347826084,0.4,30,transformer_finbert,7,3,0.0010869565217391797
0.3888888888888889,0.39891304347826084,0.4,60,baseline_xgb,7,3,0.0010869565217391797
0.175,0.39891304347826084,0.4,30,transformer_finbert,7,4,0.0010869565217391797
0.4375,0.39891304347826084,0.4,60,baseline_xgb,7,4,0.0010869565217391797
0.775,0.39891304347826084,0.4,30,transformer_finbert,7,5,0.0010869565217391797
0.39120370370370366,0.39891304347826084,0.4,60,baseline_xgb,7,5,0.0010869565217391797
0.42,0.39891304347826084,0.4,30,transformer_finbert,7,6,0.0010869565217391797
0.4224537037037037,0.39891304347826084,0.4,60,baseline_xgb,7,6,0.0010869565217391797
0.21000000000000002,0.39891304347826084,0.4,30,transformer_finbert,7,7,0.0010869565217391797
0.4212962962962963,0.39891304347826084,0.4,60,baseline_xgb,7,7,0.0010869565217391797
0.17,0.39891304347826084,0.4,30,transformer_finbert,7,8,0.0010869565217391797
0.4097222222222222,0.39891304347826084,0.4,60,baseline_xgb,7,8,0.0010869565217391797
0.87,0.39891304347826084,0.4,30,transformer_finbert,7,9,0.0010869565217391797
0.40162037037037035,0.39891304347826084,0.4,60,baseline_xgb,7,9,0.0010869565217391797
0.6898148148148148,0.4,0.35,30,transformer_finbert,8,0,-0.050000000000000044
0.6336996336996336,0.4,0.35,60,baseline_xgb,8,0,-0.050000000000000044
0.8472222222222222,0.4,0.35,30,transformer_finbert,8,1,-0.050000000000000044
0.6507936507936508,0.4,0.35,60,baseline_xgb,8,1,-0.050000000000000044
0.46296296296296297,0.4,0.35,30,transformer_finbert,8,2,-0.050000000000000044
0.6642246642246642,0.4,0.35,60,baseline_xgb,8,2,-0.050000000000000044
0.10648148148148148,0.4,0.35,30,transformer_finbert,8,3,-0.050000000000000044
0.6105006105006106,0.4,0.35,60,baseline_xgb,8,3,-0.050000000000000044
0.75,0.4,0.35,30,transformer_finbert,8,4,-0.050000000000000044
0.667887667887668,0.4,0.35,60,baseline_xgb,8,4,-0.050000000000000044
0.4074074074074074,0.4,0.35,30,transformer_finbert,8,5,-0.050000000000000044
0.6068376068376069,0.4,0.35,60,baseline_xgb,8,5,-0.050000000000000044
0.46759259259259256,0.4,0.35,30,transformer_finbert,8,6,-0.050000000000000044
0.6483516483516483,0.4,0.35,60,baseline_xgb,8,6,-0.050000000000000044
0.8101851851851851,0.4,0.35,30,transformer_finbert,8,7,-0.050000000000000044
0.6141636141636141,0.4,0.35,60,baseline_xgb,8,7,-0.050000000000000044
0.41203703703703703,0.4,0.35,30,transformer_finbert,8,8,-0.050000000000000044
0.6434676434676435,0.4,0.35,60,baseline_xgb,8,8,-0.050000000000000044
0.41203703703703703,0.4,0.35,30,transformer_finbert,8,9,-0.050000000000000044
0.6422466422466422,0.4,0.35,60,baseline_xgb,8,9,-0.050000000000000044
0.56,0.4,0.25,60,baseline_xgb,9,0,-0.15000000000000002
0.6014814814814815,0.4,0.25,60,baseline_xgb,9,1,-0.15000000000000002
0.5777777777777778,0.4,0.25,60,baseline_xgb,9,2,-0.15000000000000002
0.5614814814814815,0.4,0.25,60,baseline_xgb,9,3,-0.15000000000000002
0.5866666666666667,0.4,0.25,60,baseline_xgb,9,4,-0.15000000000000002
0.5762962962962963,0.4,0.25,60,baseline_xgb,9,5,-0.15000000000000002
0.5777777777777777,0.4,0.25,60,baseline_xgb,9,6,-0.15000000000000002
