auc,train_balance,val_balance,test_balance,n_test,ticker,model,fold,seed,shift
0.5141700404858299,0.47681159420289854,0.5222222222222223,0.4222222222222222,90,VALE3,baseline_xgb,1,4,-0.054589371980676316
0.9179206566347469,0.48205128205128206,0.4222222222222222,0.4777777777777778,60,VALE3,transformer_finbert,2,0,-0.004273504273504258
0.7050964868876793,0.48205128205128206,0.4222222222222222,0.4777777777777778,90,VALE3,baseline_xgb,2,0,-0.004273504273504258
0.7564979480164158,0.48205128205128206,0.4222222222222222,0.4777777777777778,60,VALE3,transformer_finbert,2,1,-0.004273504273504258
0.7140029688273132,0.48205128205128206,0.4222222222222222,0.4777777777777778,90,VALE3,baseline_xgb,2,1,-0.004273504273504258
0.7496580027359782,0.48205128205128206,0.4222222222222222,0.4777777777777778,60,VALE3,transformer_finbert,2,2,-0.004273504273504258
0.7501237011380504,0.48205128205128206,0.4222222222222222,0.4777777777777778,90,VALE3,baseline_xgb,2,2,-0.004273504273504258
0.9233926128590971,0.48205128205128206,0.4222222222222222,0.4777777777777778,60,VALE3,transformer_finbert,2,3,-0.004273504273504258
0.7125185551707075,0.48205128205128206,0.4222222222222222,0.4777777777777778,90,VALE3,baseline_xgb,2,3,-0.004273504273504258
0.9069767441860465,0.48205128205128206,0.4222222222222222,0.4777777777777778,60,VALE3,transformer_finbert,2,4,-0.004273504273504258
0.7535873330034636,0.48205128205128206,0.4222222222222222,0.4777777777777778,90,VALE3,baseline_xgb,2,4,-0.004273504273504258
0.6886160714285715,0.47586206896551725,0.4777777777777778,0.4777777777777778,60,VALE3,transformer_finbert,3,0,0.0019157088122605526
0.6927263730826324,0.47586206896551725,0.4777777777777778,0.4777777777777778,90,VALE3,baseline_xgb,3,0,0.0019157088122605526
0.4832589285714286,0.47586206896551725,0.4777777777777778,0.4777777777777778,60,VALE3,transformer_finbert,3,1,0.0019157088122605526
0.7333003463631865,0.47586206896551725,0.4777777777777778,0.4777777777777778,90,VALE3,baseline_xgb,3,1,0.0019157088122605526
0.6930803571428572,0.47586206896551725,0.4777777777777778,0.4777777777777778,60,VALE3,transformer_finbert,3,2,0.0019157088122605526
0.7258782780801583,0.47586206896551725,0.4777777777777778,0.4777777777777778,90,VALE3,baseline_xgb,3,2,0.0019157088122605526
0.6897321428571428,0.47586206896551725,0.4777777777777778,0.4777777777777778,60,VALE3,transformer_finbert,3,3,0.0019157088122605526
0.7392380009896091,0.47586206896551725,0.4777777777777778,0.4777777777777778,90,VALE3,baseline_xgb,3,3,0.0019157088122605526
0.6763392857142858,0.47586206896551725,0.4777777777777778,0.4777777777777778,60,VALE3,transformer_finbert,3,4,0.0019157088122605526
0.7075705096486888,0.47586206896551725,0.4777777777777778,0.4777777777777778,90,VALE3,baseline_xgb,3,4,0.0019157088122605526
0.5517241379310345,0.47604166666666664,0.4777777777777778,0.9666666666666667,90,VALE3,baseline_xgb,4,0,0.49062500000000003
0.5517241379310345,0.47604166666666664,0.4777777777777778,0.9666666666666667,90,VALE3,baseline_xgb,4,1,0.49062500000000003
0.4827586206896552,0.47604166666666664,0.4777777777777778,0.9666666666666667,90,VALE3,baseline_xgb,4,2,0.49062500000000003
0.49042145593869735,0.47604166666666664,0.4777777777777778,0.9666666666666667,90,VALE3,baseline_xgb,4,3,0.49062500000000003
0.4827586206896552,0.47604166666666664,0.4777777777777778,0.9666666666666667,90,VALE3,baseline_xgb,4,4,0.49062500000000003
