auc,train_balance,test_balance,ticker,config,fold,seed
0.8215196328403875,0.6602564102564102,0.5888888888888889,PETR4,PRICE+SENT,2,0
0.8574706782253951,0.6602564102564102,0.5888888888888889,PETR4,PRICE,2,1
0.4528301886792453,0.6602564102564102,0.5888888888888889,PETR4,SENT,2,1
0.8179500254971953,0.6602564102564102,0.5888888888888889,PETR4,PRICE+SENT,2,1
0.8434472208057113,0.6602564102564102,0.5888888888888889,PETR4,PRICE,2,2
0.46914839367669553,0.6602564102564102,0.5888888888888889,PETR4,SENT,2,2
0.8128505864354921,0.6602564102564102,0.5888888888888889,PETR4,PRICE+SENT,2,2
0.8383477817440081,0.6602564102564102,0.5888888888888889,PETR4,PRICE,2,3
0.45181030086690466,0.6602564102564102,0.5888888888888889,PETR4,SENT,2,3
0.7817440081591025,0.6602564102564102,0.5888888888888889,PETR4,PRICE+SENT,2,3
0.8602753697093319,0.6602564102564102,0.5888888888888889,PETR4,PRICE,2,4
0.4467108618052014,0.6602564102564102,0.5888888888888889,PETR4,SENT,2,4
0.8179500254971953,0.6602564102564102,0.5888888888888889,PETR4,PRICE+SENT,2,4
0.8185,0.6344827586206897,0.5555555555555556,PETR4,PRICE,3,0
0.504,0.6344827586206897,0.5555555555555556,PETR4,SENT,3,0
0.802,0.6344827586206897,0.5555555555555556,PETR4,PRICE+SENT,3,0
0.8075,0.6344827586206897,0.5555555555555556,PETR4,PRICE,3,1
0.5110000000000001,0.6344827586206897,0.5555555555555556,PETR4,SENT,3,1
0.7905,0.6344827586206897,0.5555555555555556,PETR4,PRICE+SENT,3,1
0.8135,0.6344827586206897,0.5555555555555556,PETR4,PRICE,3,2
0.5055000000000001,0.6344827586206897,0.5555555555555556,PETR4,SENT,3,2
0.7954999999999999,0.6344827586206897,0.5555555555555556,PETR4,PRICE+SENT,3,2
0.804,0.6344827586206897,0.5555555555555556,PETR4,PRICE,3,3
0.496,0.6344827586206897,0.5555555555555556,PETR4,SENT,3,3
0.7995,0.6344827586206897,0.5555555555555556,PETR4,PRICE+SENT,3,3
0.802,0.6344827586206897,0.5555555555555556,PETR4,PRICE,3,4
0.49700000000000005,0.6344827586206897,0.5555555555555556,PETR4,SENT,3,4
0.7925,0.6344827586206897,0.5555555555555556,PETR4,PRICE+SENT,3,4
0.8097826086956522,0.6302083333333334,0.4888888888888889,PETR4,PRICE,4,0
0.5909090909090908,0.6302083333333334,0.4888888888888889,PETR4,SENT,4,0
0.8201581027667983,0.6302083333333334,0.4888888888888889,PETR4,PRICE+SENT,4,0
0.8241106719367589,0.6302083333333334,0.4888888888888889,PETR4,PRICE,4,1
0.5790513833992095,0.6302083333333334,0.4888888888888889,PETR4,SENT,4,1
0.8364624505928854,0.6302083333333334,0.4888888888888889,PETR4,PRICE+SENT,4,1
0.8033596837944663,0.6302083333333334,0.4888888888888889,PETR4,PRICE,4,2
0.5726284584980237,0.6302083333333334,0.4888888888888889,PETR4,SENT,4,2
0.8137351778656127,0.6302083333333334,0.4888888888888889,PETR4,PRICE+SENT,4,2
0.8013833992094862,0.6302083333333334,0.4888888888888889,PETR4,PRICE,4,3
0.549407114624506,0.6302083333333334,0.4888888888888889,PETR4,SENT,4,3
0.8181818181818182,0.6302083333333334,0.4888888888888889,PETR4,PRICE+SENT,4,3
0.816699604743083,0.6302083333333334,0.4888888888888889,PETR4,PRICE,4,4
0.5849802371541503,0.6302083333333334,0.4888888888888889,PETR4,SENT,4,4
0.8196640316205533,0.6302083333333334,0.4888888888888889,PETR4,PRICE+SENT,4,4
0.45670460168233545,0.4666666666666667,0.5222222222222223,VALE3,PRICE,0,0
0.5230084116773874,0.4666666666666667,0.5222222222222223,VALE3,SENT,0,0
0.4428500742206828,0.4666666666666667,0.5222222222222223,VALE3,PRICE+SENT,0,0
0.5546759030183078,0.4666666666666667,0.5222222222222223,VALE3,PRICE,0,1
0.5329045027214251,0.4666666666666667,0.5222222222222223,VALE3,SENT,0,1
