auc,prec_down,recall_down,prec_up,recall_up,n_down_calls,n_test,ticker,model,seed
0.6012755102040817,0.4392523364485981,0.6714285714285714,0.6933333333333334,0.4642857142857143,107,182,PETR4,baseline_xgb,9
0.33313919627256844,0.2986111111111111,0.8431372549019608,0.0,0.0,144,152,PETR4,transformer_finbert,10
0.5767857142857143,0.41346153846153844,0.6142857142857143,0.6538461538461539,0.45535714285714285,104,182,PETR4,baseline_xgb,10
0.341681226946224,0.3023255813953488,0.7647058823529411,0.4782608695652174,0.10891089108910891,129,152,PETR4,transformer_finbert,11
0.5877551020408164,0.41836734693877553,0.5857142857142857,0.6547619047619048,0.49107142857142855,98,182,PETR4,baseline_xgb,11
0.3445932828576976,0.3053435114503817,0.7843137254901961,0.47619047619047616,0.09900990099009901,131,152,PETR4,transformer_finbert,12
0.5897959183673469,0.42201834862385323,0.6571428571428571,0.6712328767123288,0.4375,109,182,PETR4,baseline_xgb,12
0.3131430790137837,0.2818181818181818,0.6078431372549019,0.5238095238095238,0.21782178217821782,110,152,PETR4,transformer_finbert,13
0.5825255102040817,0.4090909090909091,0.6428571428571429,0.6527777777777778,0.41964285714285715,110,182,PETR4,baseline_xgb,13
0.32343234323432346,0.3235294117647059,0.6470588235294118,0.64,0.31683168316831684,102,152,PETR4,transformer_finbert,14
0.589030612244898,0.42718446601941745,0.6285714285714286,0.6708860759493671,0.4732142857142857,103,182,PETR4,baseline_xgb,14
0.31721995728984664,0.3333333333333333,0.7450980392156863,0.6578947368421053,0.24752475247524752,114,152,PETR4,transformer_finbert,15
0.585969387755102,0.4074074074074074,0.6285714285714286,0.6486486486486487,0.42857142857142855,108,182,PETR4,baseline_xgb,15
0.30479518540089306,0.3228346456692913,0.803921568627451,0.6,0.1485148514851485,127,152,PETR4,transformer_finbert,16
0.5871173469387756,0.42574257425742573,0.6142857142857143,0.6666666666666666,0.48214285714285715,101,182,PETR4,baseline_xgb,16
0.2521840419336051,0.30833333333333335,0.7254901960784313,0.5625,0.1782178217821782,120,152,PETR4,transformer_finbert,17
0.5955357142857143,0.42990654205607476,0.6571428571428571,0.68,0.45535714285714285,107,182,PETR4,baseline_xgb,17
0.3348864298194525,0.33112582781456956,0.9803921568627451,0.0,0.0,151,152,PETR4,transformer_finbert,18
0.5816326530612246,0.41836734693877553,0.5857142857142857,0.6547619047619048,0.49107142857142855,98,182,PETR4,baseline_xgb,18
0.2958648806057076,0.3194444444444444,0.9019607843137255,0.375,0.0297029702970297,144,152,PETR4,transformer_finbert,19
0.5825255102040817,0.41836734693877553,0.5857142857142857,0.6547619047619048,0.49107142857142855,98,182,PETR4,baseline_xgb,19
0.9420289855072463,0.20535714285714285,1.0,1.0,0.31007751937984496,112,152,VALE3,transformer_finbert,0
0.6808333333333333,0.22033898305084745,0.8125,0.90625,0.38666666666666666,118,182,VALE3,baseline_xgb,0
0.9983147960903269,0.40350877192982454,1.0,1.0,0.7364341085271318,57,152,VALE3,transformer_finbert,1
0.6829166666666666,0.2184873949579832,0.8125,0.9047619047619048,0.38,119,182,VALE3,baseline_xgb,1
0.9737108190091002,0.2072072072072072,1.0,1.0,0.3178294573643411,111,152,VALE3,transformer_finbert,2
0.68375,0.21487603305785125,0.8125,0.9016393442622951,0.36666666666666664,121,182,VALE3,baseline_xgb,2
0.7131782945736435,0.2948717948717949,1.0,1.0,0.5736434108527132,78,152,VALE3,transformer_finbert,3
0.6670833333333333,0.21311475409836064,0.8125,0.9,0.36,122,182,VALE3,baseline_xgb,3
0.9935962251432423,0.3194444444444444,1.0,1.0,0.6201550387596899,72,152,VALE3,transformer_finbert,4
0.675625,0.21138211382113822,0.8125,0.8983050847457628,0.35333333333333333,123,182,VALE3,baseline_xgb,4
0.9228176609369733,0.34328358208955223,1.0,1.0,0.6589147286821705,67,152,VALE3,transformer_finbert,5
0.6733333333333333,0.21666666666666667,0.8125,0.9032258064516129,0.37333333333333335,120,182,VALE3,baseline_xgb,5
0.9959555106167846,0.30666666666666664,1.0,1.0,0.5968992248062015,75,152,VALE3,transformer_finbert,6
0.6737500000000001,0.21487603305785125,0.8125,0.9016393442622951,0.36666666666666664,121,182,VALE3,baseline_xgb,6
0.6316144253454667,0.2676056338028169,0.8260869565217391,0.9506172839506173,0.5968992248062015,71,152,VALE3,transformer_finbert,7
0.6937500000000001,0.21311475409836064,0.8125,0.9,0.36,122,182,VALE3,baseline_xgb,7
0.9922480620155039,0.27058823529411763,1.0,1.0,0.5193798449612403,85,152,VALE3,transformer_finbert,8
0.6925,0.22131147540983606,0.84375,0.9166666666666666,0.36666666666666664,122,182,VALE3,baseline_xgb,8
0.9949443882709808,0.2804878048780488,1.0,1.0,0.5426356589147286,82,152,VALE3,transformer_finbert,9
0.6747916666666667,0.2184873949579832,0.8125,0.9047619047619048,0.38,119,182,VALE3,baseline_xgb,9
